Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.071104259661816,0.00200303179776166,-0.0992852147953354,0,0,0,2.75314359310364,0.0065612497747436,-4.33905688720932E-07,7.93136902489972E-06,0.00572527308396673,-4.29101613522818E-07,0.0116295244162171,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body(fixed)-1,model,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455532547277625,0.00238273174768056,0.00316237571883915,0,0,0,0.0606810735326679,1.7187359000971E-05,-1.6484530205636E-08,-1.56454773175218E-07,1.57906996487927E-05,2.96411876510759E-09,1.34932513987566E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,fixed,-0.00886806590619908,0.0844036400368472,-0.186502747985397,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
LFW,0.0150000000000001,0,0,0,0,0,0.289786121963991,0.000439831942427159,-3.54651028574374E-20,-3.54956186376153E-20,0.000241649930360879,1.35525271560688E-20,0.000241649930360879,0,0,0,0,0,0,package://lide/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-2,Origin_LFW,Axis_LFW,LFW,continuous,0.0633463599631538,-0.00679803845222954,0.0150436140506676,-1.07689569850004,0,0,LFS,1,0,0,,,,,,,,,,,,
RFS,-0.0191756587025614,-0.0149423417490195,0.0521917790884628,0,0,0,0.0606810735326679,1.7187359000971E-05,-1.64845302056334E-08,1.56454773175213E-07,1.57906996487927E-05,-2.96411876510698E-09,1.34932513987566E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,Axis_RFS,RFS,fixed,-0.0578974692758227,-0.110781236062048,-0.169215608130948,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.289786121963991,0.000439831942427158,-2.99751059459683E-36,3.28943163505767E-37,0.000241649930360878,1.61397654169218E-36,0.000241649930360879,0,0,0,0,0,0,package://lide/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-1,Origin_RFW,Axis_RFW,RFW,continuous,-0.0369687639379513,-0.0240836054314246,0.0640730174202912,0,0,0,RFS,1,0,0,,,,,,,,,,,,
LBS,2.77555756156289E-17,-0.0468906658695576,0,0,0,0,0.427507928300499,0.000234774718964074,1.00144306038344E-22,-7.3183646642772E-22,0.000174741575471784,1.9637456342593E-22,0.000234589211059472,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus_all-1,Origin_LBS,Axis_LBS,LBS,fixed,-0.156824451855532,0.129999999999999,-0.163225762701871,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
RBS,0,-0.0468906658695576,0,0,0,0,0.427507928300499,0.000234774718964074,5.2257289289969E-24,-5.71747239396702E-24,0.000174741575471784,2.97295802271097E-22,0.000234589211059472,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus_all-2,Origin_RBS,Axis_RBS,RBS,fixed,-0.156824451855531,-0.13,-0.163225762701871,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
fcam,0.000445525090231217,-1.10631679103024E-05,0.00129821973144108,0,0,0,0.0436119950287128,2.357070580464E-05,-1.01813691701995E-09,2.17579681215332E-08,4.29479133591152E-06,-8.85791114029262E-10,2.21058141232448E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-1,fcam,Axis_fcam,fcam,fixed,0.0331755481444686,0,-0.0150079249089001,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bcam,0.00044553,-1.1063E-05,0.0012982,0,0,0,0.043612,2.3571E-05,-1.0183E-09,2.1758E-08,4.2948E-06,-8.8548E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-2,bcam,Axis_bcasm,bcasm,fixed,0.0245945655901036,0,-0.0502880893355512,0,0.785398163397447,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.013523,0.00046196,-0.028765,0,0,0,0.073085,1.9581E-05,-1.0393E-07,-4.2839E-07,2.4125E-05,9.4271E-09,4.1418E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,lidar,Axis_Lidar,Lidar,fixed,-0.149400819455678,-0.000994047553704497,0.0564999999999964,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,0.0038502,6.2398E-05,-0.0010338,0,0,0,0.00070067,2.8868E-08,5.1561E-11,5.7227E-12,1.798E-08,-2.3337E-11,4.6383E-08,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,,IMU-2,imu,Axis_imu_link,imu_link,fixed,0.0061755,0,0.005,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
